recclass reclat
L5 50.775000
H6 56.183330
EH4 54.216670
Acapulcoite 16.883330
L6 -33.166670
EH4 32.100000
LL3-6 44.833330
H5 44.216670
L6 -31.600000
L -30.866670
Diogenite-pm 16.398060
L6 19.083330
Unknown 50.666670
L6 29.516670
H4 29.716670
H 8.916670
"Iron 1981
CR2-an 24.416670
LL5 13.660330
CI1 44.116670
L/LL4 44.650000
L 2.000000
Eucrite-mmict 45.821330
LL5 51.783330
L6 36.233330
H5 44.883330
H4 50.950000
L6 45.266670
H5 42.533330
CV3 26.966670
Ureilite-an 20.745750
LL5 35.273330
H5 27.666670
Stone-uncl 26.583330
L6 44.616670
L3 48.700000
H6 20.883330
L5 0.000000
L6 47.466670
Angrite -22.966670
H4 9.533330
H5 25.150000
L6 40.810560
LL6 53.583330
L6 43.866670
H5 -33.000000
H6 38.500000
H5 -31.416670
H6 42.450000
L6 31.805000
L6 52.050000
H5 43.033330
L4 25.254170
L6 20.066670
LL6 34.750000
L6 34.316670
Aubrite 44.383330
L6 36.166670
L6 44.333330
L5 43.083330
H4 -21.460280
"Iron 1908
H 25.000000
L4 2.716670
L6 36.800000
L6 48.600000
"Iron 1934
L4 35.966670
L6 34.500000
CV3 5.383330
"Iron 1993
LL6 -6.916670
L6 27.700000
L5 30.400000
CM2 -6.333330
H5 43.950000
OC 41.366670
Mesosiderite-A1 42.383330
H5 52.733330
LL4 52.000000
L6 31.616670
L5 52.565280
H5 15.783330
L5 52.033330
H4 45.416670
L6 38.250000
L6 40.668130
LL5 11.083330
L6 36.750000
H5 39.800000
H5 51.166670
H5 53.016670
C2-ung 33.600000
OC -32.333330
LL4 25.366670
LL6 32.250000
L6 32.866670
H6 39.083330
H6 -26.166670
LL6 30.000000
LL6 45.950000
L6 -31.910000
Eucrite-mmict 11.650000
L6 41.683330
Eucrite-mmict 40.305830
H 42.533330
L5 43.216670
LL3.8 33.883330
L6 20.883330
LL6 26.508330
L6 20.833330
LL3-6 22.683330
Howardite 22.083330
Eucrite-pmict 53.100000
H4 50.133330
Diogenite 12.450000
H5 -33.156390
H4 13.766670
Aubrite 34.166670
LL3.15 25.383330
H6 49.783330
L/LL4 60.400000
L5 40.916670
L5 36.833330
L6 31.833330
H6 49.366670
LL6 40.480000
LL3.9 33.833330
L6 23.000000
"Iron 1962
"Iron 1916
LL6 44.866670
L6 21.950000
CM2 54.233330
L5 48.150000
H5 55.466670
L4 51.333330
L6 17.710670
L6 17.174930
L3 54.566670
L 40.500000
"Iron 1847
H5 50.666940
H/L3.9 53.400000
Eucrite-pmict 52.133330
L6 53.900000
CV3 39.779780
Iron? 
Eucrite -31.350000
Howardite 10.016670
H5 5.000000
H4-an 37.621940
L6 40.200000
L6 46.450000
Aubrite 26.783330
H6 27.083330
H4 52.996000
L/LL6 37.983330
"Iron 1886
OC 43.838890
H/L4 3.405000
Stone-uncl 11.750000
L5 -7.033330
